section,subsection,shapefile,heading,lookup_value,intensity,image,text,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,29,,,In 1910 56 acres burned in this location. That is equal to about 50.9 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,30,,,In 1910 40 acres burned in this location. That is equal to about 36.3 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,31,,,In 1910 15 acres burned in this location. That is equal to about 13.6 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,32,,,In 1910 25 acres burned in this location. That is equal to about 22.7 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,33,,,In 1910 1084 acres burned in this location. That is equal to about 9862 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,34,,,In 1910 1780 acres burned in this location. That is equal to about 1618 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,35,,,In 1910 2892 acres burned in this location. That is equal to about 2629 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,36,,,In 1910 4773 acres burned in this location. That is equal to about 4339 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,37,,,In 1910 77 acres burned in this location. That is equal to about 70 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,38,,,In 1910 69 acres burned in this location. That is equal to about 62.7 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,39,,,In 1910 1466 acres burned in this location. That is equal to about 1332 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,40,,,In 1910 1690 acres burned in this location. That is equal to about 1536 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,41,,,In 1910 48 acres burned in this location. That is equal to about 43.6 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,42,,,In 1910 71 acres burned in this location. That is equal to about 64.5 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,43,,,In 1910 56 acres burned in this location. That is equal to about 50.9 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,44,,,In 1911 60 acres burned in this location. That is equal to about 54.5 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,45,,,In 1912 3262 acres burned in this location. That is equal to about 2965 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,46,,,In 1913 59 acres burned in this location. That is equal to about 53.6 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,47,,,In 1913 241 acres burned in this location. That is equal to about 219. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,48,,,In 1913 1020 acres burned in this location. That is equal to about 927. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,49,,,In 1914 257 acres burned in this location. That is equal to about 233. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,50,,,In 1914 89 acres burned in this location. That is equal to about 80.9 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,51,,,In 1914 95 acres burned in this location. That is equal to about 86.3 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,52,,,In 1914 60 acres burned in this location. That is equal to about 54.5 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,53,,,In 1914 1371 acres burned in this location. That is equal to about 1246 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,54,,,In 1914 79 acres burned in this location. That is equal to about 71.8 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,55,,,In 1914 1742 acres burned in this location. That is equal to about 1584 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,56,,,In 1914 217 acres burned in this location. That is equal to about 197. footbal fields.,,,
